rank,image,image_path,rendered_prediction_path,gt_count,pred_count,tp,fp,fn,class_confusions,localization_errors,missed_classes,extra_pred_classes,score,summary
1,ppe_0511_jpg.rf.147b8cc307b69eab02d6074fc0868280.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/ppe_0511_jpg.rf.147b8cc307b69eab02d6074fc0868280.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/ppe_0511_jpg.rf.147b8cc307b69eab02d6074fc0868280.jpg,16,7,3,4,13,0,1,"glove: 8, helmet: 1, pants: 4","helmet: 1, vest: 3",40.650000000000006,"Dense scene with 16 labels. Missed glove: 8, helmet: 1, pants: 4 and added extra helmet: 1, vest: 3 predictions."
2,banner-2-schwarzman-image_jpg.rf.937dfc6ab8612482d0b37828dfe98e07.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/banner-2-schwarzman-image_jpg.rf.937dfc6ab8612482d0b37828dfe98e07.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/banner-2-schwarzman-image_jpg.rf.937dfc6ab8612482d0b37828dfe98e07.jpg,13,6,4,2,9,0,2,"helmet: 5, vest: 4",vest: 2,26.599999999999998,"Dense scene with 13 labels. Missed helmet: 5, vest: 4 and added extra vest: 2 predictions."
3,20220721_162848_jpg.rf.4f917307dc9fb5c780e061fc321d9ac9.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/20220721_162848_jpg.rf.4f917307dc9fb5c780e061fc321d9ac9.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/20220721_162848_jpg.rf.4f917307dc9fb5c780e061fc321d9ac9.jpg,3,6,2,4,1,2,0,helmet: 1,glove: 4,11.8,Class confusion: glove over helmet: 2. The prediction overlaps another labeled PPE class instead of the correct class.
4,Aitin3304_jpg.rf.c2acb2346953e3a5b9714a4482e65218.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/Aitin3304_jpg.rf.c2acb2346953e3a5b9714a4482e65218.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/Aitin3304_jpg.rf.c2acb2346953e3a5b9714a4482e65218.jpg,15,14,12,2,3,0,0,"helmet: 1, pants: 2","glove: 1, vest: 1",11.3,"Dense scene with 15 labels. Missed helmet: 1, pants: 2 and added extra glove: 1, vest: 1 predictions."
5,Aitin2013_jpg.rf.21224f782643ac9a1847780ec421f8d9.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/Aitin2013_jpg.rf.21224f782643ac9a1847780ec421f8d9.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/Aitin2013_jpg.rf.21224f782643ac9a1847780ec421f8d9.jpg,4,1,0,1,4,0,0,"glove: 1, helmet: 1, pants: 1, vest: 1",vest: 1,10.600000000000001,"Mixed error. Missed glove: 1, helmet: 1, pants: 1, vest: 1 and added extra vest: 1 predictions."
6,00218_jpg.rf.1adf27cb7be7a8368ecec64256423521.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/00218_jpg.rf.1adf27cb7be7a8368ecec64256423521.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/00218_jpg.rf.1adf27cb7be7a8368ecec64256423521.jpg,7,8,5,3,2,0,0,"pants: 1, vest: 1","helmet: 2, vest: 1",8.9,"Dense scene with 7 labels. Missed pants: 1, vest: 1 and added extra helmet: 2, vest: 1 predictions."
7,image_170_jpg.rf.5ba74d703345581e25f807e71d2b6ff5.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/image_170_jpg.rf.5ba74d703345581e25f807e71d2b6ff5.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/image_170_jpg.rf.5ba74d703345581e25f807e71d2b6ff5.jpg,2,5,1,4,1,0,0,glove: 1,"pants: 2, vest: 2",8.2,"Mixed error. Missed glove: 1 and added extra pants: 2, vest: 2 predictions."
8,gloves-206_jpg.rf.0f8a6d76b7561bde234e480986a1bc81.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/gloves-206_jpg.rf.0f8a6d76b7561bde234e480986a1bc81.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/gloves-206_jpg.rf.0f8a6d76b7561bde234e480986a1bc81.jpg,2,1,0,1,2,0,1,glove: 2,glove: 1,7.000000000000001,Mixed error. Missed glove: 2 and added extra glove: 1 predictions.
9,Video4_14_jpg.rf.694ea2eb787e4407f94d6602a5357575.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/Video4_14_jpg.rf.694ea2eb787e4407f94d6602a5357575.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/Video4_14_jpg.rf.694ea2eb787e4407f94d6602a5357575.jpg,4,3,2,1,2,0,0,glove: 2,pants: 1,6.6000000000000005,Mixed error. Missed glove: 2 and added extra pants: 1 predictions.
10,Video3_45_jpg.rf.b0d10276559fec7c40cb0991dfa2d01f.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/datasets/test/images/Video3_45_jpg.rf.b0d10276559fec7c40cb0991dfa2d01f.jpg,/Users/joshabel/Desktop/CurrentResume/Resumes_in_Reichman/github-projects/MLOps_PPE_pipeline/runs/detect/predict2/Video3_45_jpg.rf.b0d10276559fec7c40cb0991dfa2d01f.jpg,4,5,3,2,1,0,1,glove: 1,"glove: 1, pants: 1",6.6000000000000005,"Mixed error. Missed glove: 1 and added extra glove: 1, pants: 1 predictions."
