epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.909,1.11688,2.6593,1.34329,0.86858,0.10071,0.37018,0.24832,1.23113,3.41698,1.49695,0.00041088,0.00041088,0.00041088
2,748.016,1.16566,1.73887,1.33491,0.45096,0.57842,0.44151,0.28273,1.26184,3.05216,1.66408,0.000786583,0.000786583,0.000786583
3,1124.56,1.15496,1.60299,1.34334,0.43912,0.50174,0.45225,0.28044,1.27848,2.63428,1.62462,0.00112104,0.00112104,0.00112104
4,1503.34,1.13399,1.46386,1.29676,0.60227,0.58811,0.6141,0.39624,1.22727,2.07815,1.52761,0.00106437,0.00106437,0.00106437
5,1882.15,1.10247,1.36361,1.28895,0.70584,0.64167,0.70165,0.45284,1.21179,1.84827,1.48531,0.0010025,0.0010025,0.0010025
6,2266.79,1.07611,1.27832,1.25925,0.74445,0.71019,0.77286,0.52575,1.08245,1.53766,1.3923,0.000940625,0.000940625,0.000940625
7,2647.53,1.06343,1.22271,1.264,0.73392,0.74409,0.75431,0.51759,1.08588,1.57133,1.38581,0.00087875,0.00087875,0.00087875
8,3029.39,1.03001,1.09896,1.21644,0.69663,0.70092,0.69333,0.47849,1.13165,1.69296,1.44915,0.000816875,0.000816875,0.000816875
9,3405.21,0.99077,1.04987,1.20991,0.80755,0.77251,0.83673,0.59246,0.99068,1.17244,1.29459,0.000755,0.000755,0.000755
10,3791.5,0.97496,0.98012,1.19532,0.8216,0.7926,0.84766,0.60521,0.94962,1.06231,1.23005,0.000693125,0.000693125,0.000693125
11,4178.99,0.92905,0.96884,1.17883,0.81997,0.82909,0.88071,0.64166,0.92013,0.99572,1.20191,0.00063125,0.00063125,0.00063125
12,6185.03,0.89221,0.85852,1.14891,0.82377,0.82113,0.87464,0.64003,0.91538,0.96443,1.20847,0.000569375,0.000569375,0.000569375
13,6746.77,0.86825,0.81079,1.13107,0.83237,0.85369,0.89581,0.67128,0.86685,0.85271,1.1708,0.0005075,0.0005075,0.0005075
14,7370.95,0.84639,0.7591,1.10703,0.83789,0.87418,0.90058,0.6728,0.86113,0.79635,1.16626,0.000445625,0.000445625,0.000445625
15,7964.26,0.82865,0.73613,1.10054,0.83311,0.8669,0.89962,0.6903,0.85285,0.78805,1.14695,0.00038375,0.00038375,0.00038375
16,8561.2,0.79329,0.69396,1.07663,0.85183,0.87762,0.90353,0.69779,0.80435,0.74607,1.09977,0.000321875,0.000321875,0.000321875
17,9156.32,0.76811,0.65156,1.06127,0.84421,0.87966,0.90499,0.69971,0.79791,0.74755,1.11854,0.00026,0.00026,0.00026
18,9751.39,0.75974,0.64307,1.05903,0.83612,0.89907,0.90641,0.71033,0.77629,0.72465,1.08375,0.000198125,0.000198125,0.000198125
19,10347.6,0.74015,0.61938,1.04709,0.83659,0.90408,0.91261,0.71931,0.7681,0.71216,1.07612,0.00013625,0.00013625,0.00013625
20,10942.9,0.71135,0.59743,1.03542,0.85415,0.88135,0.91132,0.71812,0.75215,0.69824,1.0674,7.4375e-05,7.4375e-05,7.4375e-05
